Marital status;Application mode;Application order;Course;Daytime/evening attendance	;Previous qualification;Previous qualification (grade);Mother's qualification;Father's qualification;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
1;17;5;171;1;1;122.0;19;12;9;127.3;1;0;0;1;1;0;20;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;3
1;15;1;9254;1;1;160.0;1;3;3;142.5;1;0;0;0;1;0;19;0;14.0;0;0;6;6;6;13.66;0;13.9;-0.3;0.79;1
1;1;5;9070;1;1;122.0;37;37;9;124.8;1;0;0;0;1;0;19;0;0.0;0;0;6;0;0;0.0;0;10.8;1.4;1.74;3
1;17;2;9773;1;1;122.0;38;37;3;119.6;1;0;0;1;0;0;20;0;13.42;0;0;6;10;5;12.4;0;9.4;-0.8;-3.12;1
2;39;1;8014;0;1;100.0;37;38;9;141.5;0;0;0;1;0;0;45;0;12.33;0;0;6;6;6;13.0;0;13.9;-0.3;0.79;1
2;39;1;9991;0;19;133.1;37;37;7;114.8;0;0;1;1;1;0;50;0;11.85;0;0;5;17;5;11.5;5;16.2;0.3;-0.92;1
1;1;1;9500;1;1;142.0;19;38;10;128.4;1;0;0;1;0;1;18;0;13.3;0;0;8;8;8;14.34;0;15.5;2.8;-4.06;1
1;18;4;9254;1;1;119.0;37;37;9;113.1;1;0;0;0;1;0;22;0;0.0;0;0;5;5;0;0.0;0;15.5;2.8;-4.06;3
1;1;3;9238;1;1;137.0;1;1;9;129.3;0;0;0;1;0;1;21;1;13.87;0;0;6;7;6;14.14;0;16.2;0.3;-0.92;1
1;1;1;9238;1;1;138.0;1;19;7;123.0;1;0;1;0;0;0;18;0;11.4;0;0;6;14;2;13.5;0;8.9;1.4;3.51;3
1;1;1;9670;1;1;139.0;38;19;7;130.6;1;0;0;1;0;0;18;0;12.33;0;0;6;7;5;14.2;0;13.9;-0.3;0.79;1
1;1;1;9500;1;1;136.0;19;38;9;119.3;1;0;0;1;0;1;18;0;13.21;0;0;8;8;7;13.21;0;12.7;3.7;-1.7;1
1;1;2;9853;1;1;133.0;19;37;9;130.2;1;0;0;1;0;0;19;0;0.0;0;0;6;0;0;0.0;0;12.7;3.7;-1.7;3
1;53;1;9254;1;42;110.0;1;1;7;111.8;1;0;0;1;0;1;21;0;10.57;0;0;6;8;5;11.0;0;8.9;1.4;3.51;1
1;1;1;9085;1;1;149.0;38;37;5;137.1;1;0;0;1;0;1;18;0;13.25;0;0;5;5;5;12.0;0;10.8;1.4;1.74;1
1;1;1;9773;1;1;127.0;19;37;3;120.7;1;0;0;1;0;0;20;0;13.2;0;0;6;7;0;0.0;0;15.5;2.8;-4.06;3
1;18;1;9238;1;1;137.0;19;38;8;137.4;1;0;0;1;0;0;18;0;12.0;0;0;6;14;2;11.0;0;10.8;1.4;1.74;1
1;17;2;9500;1;1;135.0;19;1;4;127.3;1;0;0;1;0;0;18;0;1.33;0;0;8;8;8;14.54;0;15.5;2.8;-4.06;1
1;1;1;9130;1;1;137.0;3;19;5;136.3;1;0;0;1;0;0;20;0;12.5;1;0;5;8;4;12.25;2;10.8;1.4;1.74;1
1;1;1;9853;1;1;140.0;19;19;7;124.6;1;0;0;1;0;0;18;0;11.66;0;0;7;8;6;13.5;0;16.2;0.3;-0.92;1
1;1;3;171;1;1;122.0;1;1;8;120.3;0;0;0;1;0;1;21;0;0.0;0;0;0;0;0;0.0;0;11.1;0.6;2.02;1
1;18;4;9556;1;1;127.0;1;38;7;121.8;1;0;0;1;0;0;20;0;11.43;0;0;8;9;8;11.42;0;12.7;3.7;-1.7;1
1;1;4;9500;1;1;142.0;19;19;1;125.5;1;0;0;1;0;0;18;0;12.85;0;0;8;12;7;12.85;0;12.7;3.7;-1.7;1
